MiniDOT Logger Concatenated Data File
Sensor:             7450-030944
Concatenation Date: 2023Aug17 11:26:11 AST

DO concentration compensated for salinity: 40.5 (ppt)
Saturation computed at elevation: 0.0 (meter)

"            Unix Timestamp,               UTC_Date_&_Time,          Arabia Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q"
"                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)"
"                1690291860,           2023-07-25 13:31:00,           2023-07-25 16:31:00,      3.520000,     35.531000,          7.139521,                   128.485854,      0.948000"
"                1690292460,           2023-07-25 13:41:00,           2023-07-25 16:41:00,      3.520000,     35.450000,          7.086329,                   127.373815,      0.950000"
"                1690293060,           2023-07-25 13:51:00,           2023-07-25 16:51:00,      3.520000,     35.388000,          6.998652,                   125.680907,      0.949000"
"                1690293660,           2023-07-25 14:01:00,           2023-07-25 17:01:00,      3.520000,     35.352000,          6.994283,                   125.534616,      0.949000"
"                1690294260,           2023-07-25 14:11:00,           2023-07-25 17:11:00,      3.520000,     35.343000,          6.963558,                   124.966273,      0.950000"
"                1690294860,           2023-07-25 14:21:00,           2023-07-25 17:21:00,      3.520000,     35.334000,          6.955410,                   124.803204,      0.950000"
"                1690295460,           2023-07-25 14:31:00,           2023-07-25 17:31:00,      3.520000,     35.424000,          7.030439,                   126.319949,      0.949000"
"                1690296060,           2023-07-25 14:41:00,           2023-07-25 17:41:00,      3.520000,     35.415000,          6.981163,                   125.417644,      0.949000"
"                1690296660,           2023-07-25 14:51:00,           2023-07-25 17:51:00,      3.520000,     35.163000,          6.897385,                   123.444577,      0.951000"
"                1690297260,           2023-07-25 15:01:00,           2023-07-25 18:01:00,      3.520000,     35.047000,          6.790721,                   121.323772,      0.951000"
"                1690297860,           2023-07-25 15:11:00,           2023-07-25 18:11:00,      3.520000,     35.047000,          6.789109,                   121.294971,      0.952000"
"                1690298460,           2023-07-25 15:21:00,           2023-07-25 18:21:00,      3.520000,     35.002000,          6.750817,                   120.529208,      0.952000"
"                1690299060,           2023-07-25 15:31:00,           2023-07-25 18:31:00,      3.520000,     34.975000,          6.733646,                   120.173806,      0.952000"
"                1690299660,           2023-07-25 15:41:00,           2023-07-25 18:41:00,      3.520000,     34.975000,          6.743317,                   120.346407,      0.951000"
