data2,data1,loggerUid,logDateTime,dateTime,PAR,control
31.88,0,CDFB19377155,1690574400,28-07-2023 23:00:00,4.975,
31.94,0,CDFB19377155,1690575000,28-07-2023 23:10:00,4.975,
32.13,0,CDFB19377155,1690575600,28-07-2023 23:20:00,4.975,
32.19,0,CDFB19377155,1690576200,28-07-2023 23:30:00,4.975,
32.19,0,CDFB19377155,1690576800,28-07-2023 23:40:00,4.975,
32.13,0,CDFB19377155,1690577400,28-07-2023 23:50:00,4.975,
32.25,0,CDFB19377155,1690578000,29-07-2023 00:00:00,4.975,
32.38,0,CDFB19377155,1690578600,29-07-2023 00:10:00,4.975,
32.5,0,CDFB19377155,1690579200,29-07-2023 00:20:00,4.975,
32.38,0,CDFB19377155,1690579800,29-07-2023 00:30:00,4.975,
32.44,0,CDFB19377155,1690580400,29-07-2023 00:40:00,4.975,
32.63,0,CDFB19377155,1690581000,29-07-2023 00:50:00,4.975,
32.81,0,CDFB19377155,1690581600,29-07-2023 01:00:00,4.975,
32.88,0,CDFB19377155,1690582200,29-07-2023 01:10:00,4.975,
32.81,0,CDFB19377155,1690582800,29-07-2023 01:20:00,4.975,
32.69,0,CDFB19377155,1690583400,29-07-2023 01:30:00,4.975,
32.69,0,CDFB19377155,1690584000,29-07-2023 01:40:00,4.975,
32.69,0,CDFB19377155,1690584600,29-07-2023 01:50:00,4.975,
32.69,0,CDFB19377155,1690585200,29-07-2023 02:00:00,4.975,
32.81,0,CDFB19377155,1690585800,29-07-2023 02:10:00,4.975,
32.88,0,CDFB19377155,1690586400,29-07-2023 02:20:00,4.975,
32.75,0,CDFB19377155,1690587000,29-07-2023 02:30:00,4.975,
32.63,0,CDFB19377155,1690587600,29-07-2023 02:40:00,4.975,
32.5,0,CDFB19377155,1690588200,29-07-2023 02:50:00,4.975,
32.5,0,CDFB19377155,1690588800,29-07-2023 03:00:00,4.975,
32.5,0,CDFB19377155,1690589400,29-07-2023 03:10:00,4.975,
32.63,0,CDFB19377155,1690590000,29-07-2023 03:20:00,4.975,
32.69,0,CDFB19377155,1690590600,29-07-2023 03:30:00,4.975,
32.56,0,CDFB19377155,1690591200,29-07-2023 03:40:00,4.975,
32.56,0,CDFB19377155,1690591800,29-07-2023 03:50:00,4.975,
32.63,0,CDFB19377155,1690592400,29-07-2023 04:00:00,4.975,
32.63,0,CDFB19377155,1690593000,29-07-2023 04:10:00,4.975,
32.5,0,CDFB19377155,1690593600,29-07-2023 04:20:00,4.975,
32.44,0,CDFB19377155,1690594200,29-07-2023 04:30:00,4.975,
32.25,0,CDFB19377155,1690594800,29-07-2023 04:40:00,4.975,
32.06,0,CDFB19377155,1690595400,29-07-2023 04:50:00,4.975,
32,0,CDFB19377155,1690596000,29-07-2023 05:00:00,4.975,
31.75,0,CDFB19377155,1690596600,29-07-2023 05:10:00,4.975,
31.63,0,CDFB19377155,1690597200,29-07-2023 05:20:00,4.975,
31.5,0,CDFB19377155,1690597800,29-07-2023 05:30:00,4.975,
31.38,7,CDFB19377155,1690598400,29-07-2023 05:40:00,5.1052,
31.25,68,CDFB19377155,1690599000,29-07-2023 05:50:00,6.2398,
31.13,268,CDFB19377155,1690599600,29-07-2023 06:00:00,9.9598,
31.06,725,CDFB19377155,1690600200,29-07-2023 06:10:00,18.46,
31,1435,CDFB19377155,1690600800,29-07-2023 06:20:00,31.666,
30.88,2434,CDFB19377155,1690601400,29-07-2023 06:30:00,50.2474,
30.75,3650,CDFB19377155,1690602000,29-07-2023 06:40:00,72.865,
30.63,4992,CDFB19377155,1690602600,29-07-2023 06:50:00,97.8262,
30.56,6578,CDFB19377155,1690603200,29-07-2023 07:00:00,127.3258,
30.5,8414,CDFB19377155,1690603800,29-07-2023 07:10:00,161.4754,
30.44,10402,CDFB19377155,1690604400,29-07-2023 07:20:00,198.4522,
30.44,12583,CDFB19377155,1690605000,29-07-2023 07:30:00,239.0188,
30.5,14951,CDFB19377155,1690605600,29-07-2023 07:40:00,283.0636,
30.56,17350,CDFB19377155,1690606200,29-07-2023 07:50:00,327.685,
30.63,19952,CDFB19377155,1690606800,29-07-2023 08:00:00,376.0822,
30.69,22551,CDFB19377155,1690607400,29-07-2023 08:10:00,424.4236,
30.75,25164,CDFB19377155,1690608000,29-07-2023 08:20:00,473.0254,
30.81,27706,CDFB19377155,1690608600,29-07-2023 08:30:00,520.3066,
31,30162,CDFB19377155,1690609200,29-07-2023 08:40:00,565.9882,
31.06,32647,CDFB19377155,1690609800,29-07-2023 08:50:00,612.2092,
31.19,35351,CDFB19377155,1690610400,29-07-2023 09:00:00,662.5036,
31.38,38035,CDFB19377155,1690611000,29-07-2023 09:10:00,712.426,
31.5,40467,CDFB19377155,1690611600,29-07-2023 09:20:00,757.6612,
31.75,42647,CDFB19377155,1690612200,29-07-2023 09:30:00,798.2092,
32,44771,CDFB19377155,1690612800,29-07-2023 09:40:00,837.7156,
32.44,43557,CDFB19377155,1690613400,29-07-2023 09:50:00,815.1352,
